Documento 1:
Index     Term           TF        IDF       TF-IDF    
Doc 2: 0.0083, 1.0000, 0.0185, 0.0010, 0.0148, 0.0081, 0.1177, 0.1015, 0.0744, 0.0662, 0.0219, 0.0928, 0.0374, 0.0332, 0.0068, 0.0493, 0.0885, 0.0000, 0.0154, 0.0540
Doc 3: 0.0077, 0.0185, 1.0000, 0.0793, 0.0072, 0.0434, 0.0093, 0.0263, 0.0277, 0.0527, 0.0512, 0.0089, 0.0338, 0.0849, 0.0000, 0.0397, 0.0000, 0.0395, 0.0000, 0.0321
Doc 4: 0.0106, 0.0010, 0.0793, 1.0000, 0.0012, 0.0146, 0.0138, 0.0015, 0.0171, 0.0011, 0.0015, 0.0343, 0.1108, 0.0220, 0.0629, 0.0191, 0.0150, 0.0131, 0.0481, 0.0721
Doc 5: 0.0000, 0.0148, 0.0072, 0.0012, 1.0000, 0.0372, 0.0088, 0.0210, 0.0126, 0.0076, 0.0175, 0.0404, 0.0010, 0.0259, 0.0056, 0.0051, 0.0260, 0.0217, 0.0000, 0.0009
Doc 6: 0.0288, 0.0081, 0.0434, 0.0146, 0.0372, 1.0000, 0.0354, 0.0116, 0.0329, 0.0335, 0.0476, 0.0007, 0.0347, 0.0225, 0.0006, 0.0617, 0.0374, 0.1366, 0.0337, 0.0298
Doc 7: 0.0742, 0.1177, 0.0093, 0.0138, 0.0088, 0.0354, 1.0000, 0.0737, 0.0960, 0.0893, 0.0419, 0.0009, 0.0876, 0.0006, 0.0167, 0.0826, 0.0285, 0.0330, 0.0895, 0.0572
Doc 8: 0.0484, 0.1015, 0.0263, 0.0015, 0.0210, 0.0116, 0.0737, 1.0000, 0.0531, 0.2734, 0.2128, 0.1156, 0.0012, 0.0096, 0.0357, 0.0480, 0.0014, 0.0000, 0.0604, 0.0367
Doc 9: 0.1117, 0.0744, 0.0277, 0.0171, 0.0126, 0.0329, 0.0960, 0.0531, 1.0000, 0.0610, 0.0398, 0.0089, 0.0000, 0.0155, 0.0858, 0.0155, 0.0000, 0.0104, 0.0185, 0.0223
Doc 10: 0.0367, 0.0662, 0.0527, 0.0011, 0.0076, 0.0335, 0.0893, 0.2734, 0.0610, 1.0000, 0.1259, 0.0010, 0.0009, 0.0632, 0.0537, 0.0678, 0.0705, 0.0000, 0.0000, 0.0009
Doc 11: 0.0522, 0.0219, 0.0512, 0.0015, 0.0175, 0.0476, 0.0419, 0.2128, 0.0398, 0.1259, 1.0000, 0.0138, 0.0012, 0.0088, 0.0753, 0.0065, 0.0484, 0.0000, 0.0206, 0.0260
Doc 12: 0.0247, 0.0928, 0.0089, 0.0343, 0.0404, 0.0007, 0.0009, 0.1156, 0.0089, 0.0010, 0.0138, 1.0000, 0.0192, 0.0065, 0.0008, 0.0122, 0.1099, 0.0378, 0.1371, 0.0716
Doc 13: 0.0561, 0.0374, 0.0338, 0.1108, 0.0010, 0.0347, 0.0876, 0.0012, 0.0000, 0.0009, 0.0012, 0.0192, 1.0000, 0.0005, 0.0075, 0.0561, 0.0617, 0.0742, 0.0268, 0.1004
Doc 14: 0.0158, 0.0332, 0.0849, 0.0220, 0.0259, 0.0225, 0.0006, 0.0096, 0.0155, 0.0632, 0.0088, 0.0065, 0.0005, 1.0000, 0.0157, 0.0207, 0.0204, 0.0070, 0.0262, 0.0433
Doc 15: 0.0272, 0.0068, 0.0000, 0.0629, 0.0056, 0.0006, 0.0167, 0.0357, 0.0858, 0.0537, 0.0753, 0.0008, 0.0075, 0.0157, 1.0000, 0.0103, 0.0008, 0.0000, 0.0214, 0.0264
Doc 16: 0.0145, 0.0493, 0.0397, 0.0191, 0.0051, 0.0617, 0.0826, 0.0480, 0.0155, 0.0678, 0.0065, 0.0122, 0.0561, 0.0207, 0.0103, 1.0000, 0.0616, 0.0263, 0.0359, 0.0661
Doc 17: 0.0036, 0.0885, 0.0000, 0.0150, 0.0260, 0.0374, 0.0285, 0.0014, 0.0000, 0.0705, 0.0484, 0.1099, 0.0617, 0.0204, 0.0008, 0.0616, 1.0000, 0.0232, 0.0246, 0.0962
Doc 18: 0.0209, 0.0000, 0.0395, 0.0131, 0.0217, 0.1366, 0.0330, 0.0000, 0.0104, 0.0000, 0.0000, 0.0378, 0.0742, 0.0070, 0.0000, 0.0263, 0.0232, 1.0000, 0.0447, 0.0131
Doc 19: 0.0261, 0.0154, 0.0000, 0.0481, 0.0000, 0.0337, 0.0895, 0.0604, 0.0185, 0.0000, 0.0206, 0.1371, 0.0268, 0.0262, 0.0214, 0.0359, 0.0246, 0.0447, 1.0000, 0.0590
Doc 20: 0.0315, 0.0540, 0.0321, 0.0721, 0.0009, 0.0298, 0.0572, 0.0367, 0.0223, 0.0009, 0.0260, 0.0716, 0.1004, 0.0433, 0.0264, 0.0661, 0.0962, 0.0131, 0.0590, 1.0000
